__source__,section,item_type,item_id,group,bar_offset,event_index,event_key,relation,bars_ago,field,value
,meta,field,module,,,,,,,module,shared
,meta,field,function,,,,,,,function,stock.price.latest
,meta,field,view,,,,,,,view,observation
,meta,field,indicator_level,,,,,,,indicator_level,advanced
,meta,field,trace_window,,,,,,,trace_window,32
,meta,field,result_type,,,,,,,result_type,DataFrame
,meta,field,requested_backend,,,,,,,requested_backend,efinance
,meta,field,resolved_backend,,,,,,,resolved_backend,efinance
,meta,field,final_backend,,,,,,,final_backend,efinance
,meta,field,candidate_chain,,,,,,,candidate_chain,[]
,meta,field,row_count,,,,,,,row_count,1
,meta,field,column_count,,,,,,,column_count,14
,result,section_row,result_1,,,,,,,symbol,000001
,result,section_row,result_1,,,,,,,name,平安银行
,result,section_row,result_1,,,,,,,close,11.08
,result,section_row,result_1,,,,,,,quote_id,0.000001
,result,section_row,result_1,,,,,,,market,深A
,result,section_row,result_1,,,,,,,open,10.98
,result,section_row,result_1,,,,,,,high,11.1
,result,section_row,result_1,,,,,,,low,10.94
,result,section_row,result_1,,,,,,,volume,885428
,result,section_row,result_1,,,,,,,turnover,978159336.86
,result,section_row,result_1,,,,,,,change_pct,0.82
,result,section_row,result_1,,,,,,,change_amount,0.09
,result,section_row,result_1,,,,,,,turnover_rate,0.46
,result,section_row,result_1,,,,,,,provider_name,efinance
